h,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.0,5.391239677823828,35.0,2.58269403634109e-07,0.2431526119180415,0.40133158463264657,0.16779217715792666,0.24290212684995752,0.24282473102395646,0.24288837857084175,0.24274206751678415
0.1,5.426209194580312,33.0,-0.023788880351709903,0.4015498431287299,0.16713745200460886,0.24341520967290986,0.2409524670009273,0.24101831479605518,0.2411036123220063,0.24089273217080853
0.2,5.531407255095154,33.0,-0.0670793315955117,0.4021984503509257,0.24740191453998558,0.16512813156965672,0.23475874054222054,0.23334498618429236,0.23396035110093544,0.23500708787259253
0.30000000000000004,5.714837270615476,0.0,-1.0550834457598163e-07,0.4683427525949773,8.415780450854229e-05,8.34563000806027e-05,0.0005054226668361297,0.3426692872454575,0.34265959271573276,0.0006051892730088563
0.4,5.996768603133386,31.0,-6.583580700744441e-08,0.46970863423916737,0.00032532448075612067,9.113625861047151e-05,0.3171542677624472,0.00036415020423159414,0.0002087216808779697,0.3171273986213514
0.5,6.372801153883315,21.0,-1.3038875815954261e-08,0.46780900272959824,7.374721547474091e-05,5.408000885380783e-05,0.2810067388501644,9.115827743166134e-05,0.0001752063585507049,0.2810179963090423
0.6000000000000001,6.849641399153823,0.0,-1.6287932851086011e-09,0.4547285521189096,2.1409602912553946e-05,7.413923367179825e-05,3.411069736964448e-05,0.2397665135940599,0.23975714291480174,2.380190478765058e-05
0.7000000000000001,7.421465918773295,0.0,-5.643491474851647e-11,0.4299220736403347,1.5906232830186256e-05,4.47453027563996e-05,3.1624250699602836e-05,0.19781683370855058,0.19783103562095936,3.939746679191586e-05
0.8,8.07715171947213,3.0,-2.2116136323357635e-10,0.39757876676255616,4.017274643989307e-05,6.580881857412301e-05,0.1496812775446216,0.00011509488387038702,6.797871920102774e-05,0.14964301223663334
0.9,8.808143288394355,1.0,-8.036228613003342e-11,0.3593304034377281,7.062092649328079e-05,7.818915901846775e-05,0.07769747991887702,0.0011188526893571758,0.001174590899726947,0.07768571498869607
1.0,9.605747645778834,0.0,6.764086817673132e-17,0.2962222625819519,8.608957040405185e-05,6.099863585613845e-05,0.00032655534173658767,0.00012516921629442536,0.00018711371770699118,0.00029481219828670995
1.1,10.455310104132758,0.0,-6.937471153253637e-17,0.20073753205116018,0.00011761876154333447,9.478360331326589e-05,9.338079846714901e-05,0.00010716909058912269,2.655154583483852e-05,0.00021073063839532476
1.2000000000000002,11.35219944767757,0.0,-7.242908587055578e-17,1.3027812564108745e-06,7.455426828225988e-05,5.462008610083929e-05,7.709575524225242e-05,6.271537620519116e-05,3.298487787549274e-05,0.00013462841716133927
1.3,12.271026219961627,0.0,-5.605931679216151e-17,1.6557508074029134e-07,6.890330332102765e-05,5.0384192278013e-05,5.763653334947692e-05,4.623029832539412e-05,2.093588649543522e-05,9.171920295022197e-05
1.4000000000000001,13.194953061420575,0.0,-1.680943666707182e-17,4.220663127566036e-08,5.104209387675295e-05,3.221735133844752e-05,5.542871033301808e-05,6.388681149878854e-05,1.2574736803703694e-05,3.337903684506741e-05
1.5,14.122967956455776,0.0,-1.3618460688719642e-17,2.7469704200426176e-08,4.861325323791305e-05,2.8789742249295208e-05,5.1389282605712675e-05,5.453981209857529e-05,1.1172875464484265e-05,2.686324519417228e-05
1.6,15.054267032995188,0.0,-1.0848809362166501e-17,1.9404260233349682e-08,4.6862102719982435e-05,2.5320757569680742e-05,4.781067997972967e-05,4.738309547048727e-05,1.0160719330665108e-05,2.2998738228067437e-05
1.7000000000000002,15.988218306896377,0.0,-8.550797809327315e-18,1.5084124640177537e-08,4.467558409009926e-05,2.296803908026775e-05,4.4502898953567254e-05,4.213479600530963e-05,8.925882887663759e-06,2.0355213275313345e-05
1.8,16.924339906641393,0.0,-6.984619724386124e-18,1.1606957138229688e-08,4.265043501803048e-05,2.1108536298985783e-05,4.192527391489423e-05,3.782805690117055e-05,7.65548704023791e-06,1.871663723591617e-05
1.9000000000000001,17.86223830240282,0.0,-5.488284531068271e-18,9.552599866252273e-09,4.0650639850556774e-05,1.9206155651669517e-05,3.944164870497582e-05,3.395464203772979e-05,6.787246514565957e-06,1.7461244924199145e-05
2.0,18.801612153553247,0.0,-4.401310993337984e-18,7.969792085125128e-09,3.869944827067686e-05,1.7652727195615864e-05,3.709304203089825e-05,3.094582710696956e-05,5.996841422646954e-06,1.6415709747862737e-05
